trick_name,capacity,siteswap,animation,tutorial,difficulty,source,description
Burke's_barrage,,,https://vignette.wikia.nocookie.net/juggle/images/d/d4/3_barrage_200.gif,"http://www.youtube.com/watch?v=kO0b5arlztg&amp;t=50s,,,",,https://juggle.wikia.com/wiki/Burke's_barrage,"         ""Takeouts"" redirects here. For the multi-person trick, see "" Steals "".   Burke's barrage is a 3 ball trick invented by Ken Burke . This pattern is a variation of ""real tennis "" ( 423 with the 3s thrown over the top of the pattern). In Burke's barrage, the 4s (non-crossing throws) are thrown under the arm , and the 3s (crossing throws) are caught under the arm. The 4s should be caught using claw catches. Another way to describe the pattern is as a 423  Mills mess where the 4s are thrown under the arm. Variations Edit      Takeouts or Charlie's cheat is a variation where after a 4 is caught, that ball is carried over the top of the pattern. This is how Burke's barrage was described in the first edition of Charlie Dancey's  Encyclopædia of Ball Juggling . (The way Ken Burke originally did it, that ball is carried through the middle of the pattern, going under the 4 that was thrown next.)    Luke Burrage invented a 5 ball multiplex trick called "" Burke's Burrage "" that combines the original Burke's barrage with the ""takeouts"" variation.    Reverse Burke's barrage      ""Box barrage"" ( Luke's shuffle with switched columns ) is a box variation that is just like Burke's barrage, except it's a synchronous pattern. ( Video )    4 ball Burke's barrage (using the siteswap  552 )    5 ball Burke's barrage (using the siteswap 726 )       Burke's Barrage and Take-Outs, plus Reverse Burke's Barrage  Burke's barrage, takeouts, and reverse Burke's barrage       The Windmill and Burke's Barrage Juggling Tutorial 4  Windmill and Burke's barrage tutorial      Retrieved from "" http://juggle.wikia.com/wiki/Burke%27s_barrage?oldid=19647 ""     "
Flats,,,,"http://www.youtube.com/watch?v=8PPxxee-jWs&amp;t=3m37s,,,",,https://juggle.wikia.com/wiki/Flats,"         Flats are throws where the props stay horizontal and don't rotate visibly.  World records Edit  Flat world records with publicly available video evidence (any throw where the object spins less than half a rotation before being caught can be considered a flat): [1]   6 ring flats: 6 catches by Kathrin Wagner in 2014 ( video )  3 club flats: 58 minutes and 52 seconds by Patrick Quin in 2018 ( video ) 5 club flats: 134 catches by Gabriel Beaudoin in 2018 ( video ) 6 club flats: 12 catches by Jack Denger in 2015 ( video ) 7 club flats: 7 catches by Haavard Hvidsten in 2014 ( video ) and Spencer Androli in 2017 ( video )   Records with insufficient video evidence:  5 ring flats: 85 catches by Alexander Kulakov in 2008 ( video no longer available)  Unverified claims:  6 ring flats: 7 catches by Kathrin Wagner in 2014 ( claim )  4 club flats: 6 minutes and 15 seconds by Peter Bone in 2006 ( claim ) 5 club flats: 200+ catches by Gabriel Beaudoin in 2014 ( claim ) 5 club flats: 263 catches by Kristian Wanvik in 2010 ( claim ) 6 club flats: 12 catches by Wes Peden in 2006 ( claim )       Three Club Flats Tutorial  3 club flats tutorial    See also Edit  Club rotation  Singles  Doubles  Triples  Quads  Quins  Reverse spins  Helicopters - a variation of flats where the clubs stay horizontal, but rotate around the vertical axis  References Edit  ↑  http://newsgroups.derkeiler.com/Archive/Rec/rec.juggling/2006-05/msg01204.html     Retrieved from "" http://juggle.wikia.com/wiki/Flats?oldid=21336 ""     "
Squeeze,,,,"http://www.youtube.com/watch?v=8nWl93i5O9Y&amp;t=8s,,,http://www.youtube.com/watch?v=Lpoz69d1QvM&amp;t=56s,,,",,https://juggle.wikia.com/wiki/Squeeze,"             Luke burrage classroom 1 club squeeze catches  2 club squeeze catches by Luke Burrage       Handful of Squeeze Patterns  4 ball squeeze patterns by Mike Moore       Freshly Squeezed  Squeeze tricks with 2-5 balls by Luke Burrage   A squeeze catch is a multiplex throw in reverse : Instead of throwing two or more objects from one hand at a time, two or more objects are caught in one hand at the same time. Squeezes can be much more difficult than multiplex throws, because the objects have to be thrown just right so that they land very close together. A squeeze catch can occur in a siteswap when a throw of value N is followed M beats later by a throw of value (N - M), with both throws directed to the same hand - for example, a 4 and a 4x thrown from different hands at the same time, or a 3 thrown right after a 4, or a 7 with a 5 two beats after it. In vanilla siteswap, patterns with collisions like this are invalid, but it's possible to write valid patterns with squeezes using multiplex notation, by writing the next throw made by the hand that did the squeeze catch as a multiplex throw involving the same number of objects that were just caught by that hand. (This ""multiplex throw"" can include a 2, which would usually mean that one of the objects stays in that hand while others are thrown, so it may not be an actual multiplex throw.) The time-reverse of 5 ball splits - ([44x],2)* - is the squeeze pattern ([42],4x)*, where the 4 from one hand and the 4x from the other hand land at the same time in the hand that threw the 4. Siteswaps like this can also be done without using actual squeeze catches, by throwing the objects to slightly different heights so that they don't land at the same time. Clustered patterns like [33], [44], and [55] are normally done with the stacked throws staggered so that the objects are caught one at a time.   Video : 4 ball reverse  slices - siteswap (4x,[22x])*   Video : 3 ball triplex squeeze penguin catch ending by Chris Noonan     Retrieved from "" http://juggle.wikia.com/wiki/Squeeze?oldid=20921 ""     "
88441,5,88441,https://vignette.wikia.nocookie.net/juggle/images/7/7c/88441_200.gif,,,https://juggle.wikia.com/wiki/88441,"           88441         Capacity    5     Period    5     Full period    25     Orbits    1     Composition    Prime     States    (Ground state) 11111 (8) 11110001 (8) 11100011 (4) 1101011 (4) 101111 (1)      Ladder diagram         Stack notation    55331     Dual    96622     88441 is a symmetrical 5 object siteswap . The 8s are about three times as high as the basic pattern , and the 4s are about half the height of the basic pattern.   Video : 21 rounds of 5 ball 88441 by Matthew Tiffany    Video : 2 rounds of 5 club 88441 by Dave Leahy    Video : 5 ball 88441 with bounced 8s by Chase Martin   Siteswap exercises Edit  You can use these exercises to practice the same kinds of throws and sequences of throws that are done in this pattern, before you learn the full pattern. Some of the siteswaps listed below are shortened to leave out parts where you’re not doing anything. Click on them to see animations of the exercises. You should practice doing these starting with your right hand and with your left hand, so that you will be ready to learn the full symmetrical pattern. Prerequisites: 66661 , 8444 , 88333  Exercises to prepare for 88441 :  3 ball 884  4 ball 884112  4 ball 8844  5 ball 88423   Variations Edit  cc88441   99552  aa663   995511  aa66111   88446  91884  94188  d4418  d8441   97441  88531  97531   b88441   8844       88441 cleaner  5 club 88441 by Ofek Snir      Retrieved from "" http://juggle.wikia.com/wiki/88441?oldid=19394 ""     "
Column_bounce,,,https://vignette.wikia.nocookie.net/juggle/images/4/4b/2_in_1_col_bounce_200.gif,,,https://juggle.wikia.com/wiki/Column_bounce,"           1-handed 2 ball column bounce 1-handed 3 ball column bounce   1-handed 4 ball column bounce 2-handed 3 ball column bounce   2-handed 4 ball column bounce 2-handed 5 ball column bounce Siteswap : (6,4x)*  Throws in the middle column (4s) bounce once, and throws in the outer columns (6s) bounce twice .    2-handed 6 ball column bounce 2-handed 6 ball column bounce spread  A column bounce is a type of bounce juggling pattern where the balls move straight up and down in columns . Each time you throw a ball, you lift it up above another ball, and then let go of it and snatch the lower ball out of its way. Some column bounce patterns involve multiple bounces . The number of columns in a column bounce pattern is equal to the number of balls used minus the number of hands used.   Video : 7 ball column bounce by Sylvain Garnavault    Video : 6-person column bounce  See also Edit  Dyer's straights     Retrieved from "" http://juggle.wikia.com/wiki/Column_bounce?oldid=17455 ""     "
9999992,8,9999992,https://vignette.wikia.nocookie.net/juggle/images/5/54/9999992_200.gif,,,https://juggle.wikia.com/wiki/9999992,"           9999992         Capacity    8     Period    7     Full period    56     Orbits    2     Composition    Prime     States    (Ground state) 11111111 (9) 111111101 (9) 111111011 (9) 111110111 (9) 111101111 (9) 111011111 (9) 110111111 (2)      Ladder diagram         Stack notation    8888882     Dual    e777777     9999992 is a symmetrical 8 object siteswap where all the throws cross at 9 object height, about 1 1/3 times as high as the basic pattern juggled at the same speed. This is the 8 object version of 77772 , and is a good exercise to work on to prepare for the 9 ball cascade . Before learning this pattern, you should already be good at the 8 ball fountain , 77772 , and 99999920 .   Video : 8 ball 9999992 by Ty Tojo   Variations Edit  aaaaaaa2   aaaaaa3   97  996  9995  99994  999993  99999991  999999990     Retrieved from "" http://juggle.wikia.com/wiki/9999992?oldid=20816 ""     "
963,6,963,https://vignette.wikia.nocookie.net/juggle/images/6/67/963_200.gif,,,https://juggle.wikia.com/wiki/963,"           963         Capacity    6     Period    3     Full period    18     Orbits    4     Composition    Prime     States    (Excited state) 1111101 (9) 111101001 (6) 11101101 (3)      Ladder diagram         Stack notation    653     Dual    Self-dual     Anagrams    936 ( time-reverse )    963 is a symmetrical 6 object siteswap . The 9s should be about 2 1/2 times as high as the 6s (which are the same height as the basic 6 ball pattern juggled at the same speed), and the 3s should be about 1/6 of the height of the 6s. There are three balls that are always thrown as 9s, two that are always thrown as 6s, and one that is always thrown as a 3. This is an excited state siteswap, starting in the state 1111101. You can transition from the basic pattern to 963 using a 7, and back to the basic pattern with a 5:   ...666666666666 7 963963963963 5 666666666666...    Video : 6 ball 963 by Matthew Tiffany   Siteswap exercises Edit  You can use these exercises to practice the same kinds of throws and sequences of throws that are done in this pattern, before you learn the full pattern. Some of the siteswaps listed below are shortened to leave out parts where you’re not doing anything. Click on them to see animations of the exercises. You should practice doing these starting with your right hand and with your left hand, so that you will be ready to learn the full symmetrical pattern. Prerequisites: 6 ball fountain , 741 , 933 , 960  Exercises to prepare for 963 :  3 ball 963  4 ball 963123  4 ball 963903  5 ball 96334  5 ball 96392344  5 ball 96396304  6 ball 9663   Variations Edit  a74  b85   936   c9630   966  993  996  c63   756  837  891  945  b34  b61       936, 945 and 963  6 ball  936 , 945 , and 963 by Haavard Hvidsten      Retrieved from "" http://juggle.wikia.com/wiki/963?oldid=19421 ""     "
711,3,711,https://vignette.wikia.nocookie.net/juggle/images/3/33/711_200.gif,,,https://juggle.wikia.com/wiki/711,"           711         Capacity    3     Period    3     Full period    9     Orbits    1     Composition    Prime     States    (Excited state) 11001 (7) 1001001 (1) 101001 (1)      Ladder diagram         Stack notation    311    711 is a symmetrical 3 object siteswap . It is a variation of the slow cascade  720 , where each object is passed from one hand to the other and back before being thrown. This is an excited state siteswap, starting in the state 11001. You can transition from the basic pattern to 711 by throwing a 7 and pausing for two beats before starting the pattern with another 7, and you can go back to the basic pattern by pausing for two beats after doing a pair of 1s:   ...333333 722 711711711711711711 22 333333...   Siteswap exercises Edit  You can use these exercises to practice the same kinds of throws and sequences of throws that are done in this pattern, before you learn the full pattern. Some of the siteswaps listed below are shortened to leave out parts where you’re not doing anything. Click on them to see animations of the exercises. You should practice doing these starting with your right hand and with your left hand, so that you will be ready to learn the full symmetrical pattern. Prerequisites: 441 , 5511  Exercises to prepare for 711 :  1 ball 7  2 ball 7207  2 ball 71  2 ball 7111  2 ball 7207  3 ball 72222  3 ball 720   Variations Edit  714  741  a11  744  a14  a41   822  933   531     Retrieved from "" http://juggle.wikia.com/wiki/711?oldid=19922 ""     "
One-handed_patterns,2,,https://vignette.wikia.nocookie.net/juggle/images/7/7e/40_out_200.gif,"https://www.youtube.com/watch?v=k7vteGW6SWI,,,http://www.youtube.com/watch?v=g3klCsYl7s4,,,https://www.youtube.com/watch?v=Tw1j-L1rBgE&amp;t=6s,,,",,https://juggle.wikia.com/wiki/One-handed_patterns,"           40    2 balls in one hand     Capacity    2     Period    2     Full period    4     Orbits    1     Composition    Prime     States    (Excited state) 101 (4) 0101 (0)      Ladder diagram         Stack notation    20     Dual    Self-dual       60    3 balls in one hand     Capacity    3     Period    2     Full period    6     Orbits    1     Composition    Prime     States    (Excited state) 10101 (6) 010101 (0)      Ladder diagram         Stack notation    30     Dual    Self-dual       80    4 balls in one hand     Capacity    4     Period    2     Full period    8     Orbits    1     Composition    Prime     States    (Excited state) 1010101 (8) 01010101 (0)      Ladder diagram         Stack notation    40     Dual    Self-dual   In two-handed juggling, odd numbers and even numbers of objects are juggled in different patterns ( cascades for odd numbers and fountains or wimpy patterns for even numbers), but in one-handed juggling all numbers can be juggled in the same kinds of patterns. One-handed juggling is normally done in a "" rolling out "" pattern, so the objects go in an arc to the right (clockwise) if the right hand is being used, and to the left (counter-clockwise) if the left hand is being used. Other one-handed patterns include "" rolling in "" (where the objects go in an arc in the opposite direction), columns , and patterns with the same shape as two-handed patterns, such as a one-handed 3 ball  cascade . One-handed juggling is the foundation of the most common method for juggling an even number of objects in two hands: the fountain pattern, where two one-handed patterns are done at the same time, with each hand juggling the same number of objects. A pseudohalfshower is also two one-handed patterns done at the same time, but with a different number of objects in each hand. A basic one-handed pattern is written in siteswap notation as an even number (twice the number of objects used) followed by a 0. Vanilla siteswaps can be interpreted as one-handed patterns. Each number represents the kind of throw you would do if you were juggling that number of objects in one hand. A 0 is a beat with an empty hand, and a 1 is a pause with an object held in the hand. You can write a one-handed interpretation of a siteswap in two-handed notation by replacing each number with the siteswap for juggling that number of objects in one hand. The one-handed version of 423 written in two-handed siteswap is 804060 . Siteswaps can also be done in shower and diabolo patterns in a similar way.  Contents [ show ]        2 in 1 hand rolling out      2 in 1 hand rolling in      2 in 1 hand in columns      3 in 1 hand rolling out      3 in 1 hand rolling in      3 in 1 hand in columns      3 in 1 hand in a cascade      3 in 1 hand in a reverse cascade      4 in 1 hand rolling out   World records Edit  One-handed juggling world records with publicly available video evidence or validated by a world record organization:  3 balls : 41 minutes and 8 seconds by Stacey Hill's friend in 2016 ( video ) 4 balls: 130 catches by Michael Ferreri in 2016 ( video ) 5 balls: 38 catches by Tom Whitfield in 2018 ( video ) 6 balls: 13 catches by Tom Whitfield in 2018 ( video ) 7 balls: 7 catches by Sam Hartford in 2002 ( video ), Alex Barron in 2012 ( video ), Dave Leahy in 2014 ( video ), Dan Wood in 2015 ( video ), Alex McGillivray in 2018 ( video ), Eivind Dragsjø in 2018 ( video ), and Tom Whitfield in 2018 ( video )  3 rings : 4 minutes and 24 seconds by Mario Napodano in 2015 ( video ) 4 rings: 129 catches by Willy Colombaioni in 2016 ( video ) 5 rings: 27 catches by Willy Colombaioni in 2017 ( video ) 6 rings: 12 catches by Willy Colombaioni in 2017 ( video ) 7 rings: 9 catches by Willy Colombaioni in 2017 ( video )  3 clubs : 2 minutes and 20 seconds by Willy Colombaioni in 2015 ( video ) 4 clubs: 20 catches by Willy Colombaioni in 2017 ( video ) 5 clubs: 6 catches by Willy Colombaioni in 2017 ( video )   Unverified claims:  4 balls: 137 catches by JP Kazu in 2008 ( claim ) 4 balls: 152 catches by Tom Whitfield in 2018 ( claim ) 4 balls: 195 catches by Bruce Sarafian in 1996 ( claim ) 6 balls: 13 catches by Brian Koenig in 2007 ( claim ) 7 balls: 8 catches by Nik Meier in 2014 ( claim )  7 rings: 9 catches by Sam Hartford in 2003 ( claim )  5 clubs: 9 catches by Casey Boehmer in 2001 ( claim )       7 in One Hand  7 ball flash in one hand by Alex Barron    Siteswap exercises Edit  You can use these exercises to practice the same kinds of throws that are done in one-handed patterns, before you learn the full pattern. Some of the siteswaps listed below are shortened to leave out parts where you’re not doing anything. Click on them to see animations of the exercises. You should practice doing these with your right hand and with your left hand, so that you will be able to do the pattern with either hand.      3 (Balls) in 1 Hand A Tutorial Request  3 balls in 1 hand tutorial    2 balls in 1 hand: Exercises to prepare for 40 :  1 ball 40   3 balls in 1 hand: Prerequisites: 2 balls in 1 hand Exercises to prepare for 60 :  1 ball 60  2 ball 60  2 ball 6060   4 balls in 1 hand: Prerequisites: 3 balls in 1 hand Exercises to prepare for 80 :  1 ball 80  2 ball 80  2 ball 8080  3 ball 8080  3 ball 808080   One-handed jugglers Edit  Professional comedy juggler Dale Jones has been unable to use his right arm since he injured it at age eight. He learned to juggle with just his left hand when he was 15. 1996 IJA Juniors champion Casey Boehmer was born without a left forearm, and learned to juggle when he was five. He can juggle up to 6 balls, 6 rings, and 5 clubs in his right hand.  See also Edit  8040   Three-handed patterns  Five-handed patterns     Retrieved from "" http://juggle.wikia.com/wiki/One-handed_patterns?oldid=21645 ""     "
Claw,,,,"https://www.youtube.com/watch?v=RFwswtvDk6g,,,https://www.youtube.com/watch?v=FPJJFj5iOcw,,,https://www.youtube.com/watch?v=Vt5uZzjR_Rk,,,",,https://juggle.wikia.com/wiki/Claw,"         Clawing is a way of juggling with your palms facing down, with your hand on top of the ball . When you do a claw catch (also called a snatch ), rather than waiting for the ball to come down and land in your hand, you reach up and snatch down at the ball from above.      3ball cherry picker variations  Variations of the cherry picker (half-clawed half- Boston mess ) by Tsubasa Murakami     Video : Clawing with 3 and 5 balls by Luke Burrage    Video : 5 ball clawing by Thomas Dietz   World records Edit  Claw catch world records with publicly available video evidence:  3 balls: 51 minutes and 43 seconds by Patrick Quin in 2018  ( video ) 4 balls: 9 minutes and 3 seconds by Patrick Quin in 2018 ( video ) 5 balls: 1 minute and 9 seconds by Patrick Quin in 2018 ( video ) 6 balls: 36 catches by Patrick Quin in 2018 ( video ) 7 balls: 15 catches by Patrick Quin in 2018 ( video )  Unverified claims:  5 balls: 230 catches by Sondre Ribe Øverby in 2007 ( claim ) 5 balls: 1 minute and 18 seconds by Harry Hirsch in 2010 ( claim ) 5 balls: 1 minute and 40 seconds by Kukac in 2010 ( claim ) 7 balls: 13 catches by Sondre Ribe Øverby in 2007 ( claim )  See also Edit  Back hand catches - another way to juggle with your palms facing down    Retrieved from "" http://juggle.wikia.com/wiki/Claw?oldid=21596 ""     "
